北京市,北京,北京市,10,116.4,39.9
北京市,北京,天安门,10,116.38,39.9
北京市,北京,东城区,10,116.42,39.93
北京市,北京,西城区,10,116.37,39.92
北京市,北京,崇文区,10,116.43,39.88
北京市,北京,宣武区,10,116.35,39.87
北京市,北京,朝阳区,10,116.43,39.92
北京市,北京,丰台区,10,116.28,39.85
北京市,北京,石景山区,10,116.22,39.9
北京市,北京,海淀区,10,116.3,39.95
北京市,北京,门头沟区,10,116.1,39.93
北京市,北京,房山区,10,116.13,39.75
北京市,北京,通州区,10,116.65,39.92
北京市,北京,顺义区,10,116.65,40.13
北京市,北京,昌平区,10,116.23,40.22
北京市,北京,大兴区,10,116.33,39.73
北京市,北京,怀柔区,10,116.63,40.32
北京市,北京,平谷区,10,117.12,40.13
北京市,北京,密云县,10,116.83,40.37
北京市,北京,延庆县,10,115.97,40.45
天津市,天津,天津市,22,117.2,39.12
天津市,天津,和平区,22,117.2,39.12
天津市,天津,河东区,22,117.22,39.12
天津市,天津,河西区,22,117.22,39.12
天津市,天津,南开区,22,117.15,39.13
天津市,天津,河北区,22,117.18,39.15
天津市,天津,红桥区,22,117.15,39.17
天津市,天津,塘沽区,22,117.65,39.02
天津市,天津,汉沽区,22,117.8,39.25
天津市,天津,大港区,22,117.45,38.83
天津市,天津,东丽区,22,117.3,39.08
天津市,天津,西青区,22,117,39.13
天津市,天津,津南区,22,117.38,38.98
天津市,天津,北辰区,22,117.13,39.22
天津市,天津,武清区,22,117.03,39.38
天津市,天津,宝坻区,22,117.3,39.72
天津市,天津,滨海新区,22,117.68,39.03
天津市,天津,宁河县,22,117.82,39.33
天津市,天津,静海县,22,116.92,38.93
天津市,天津,蓟县,22,117.4,40.05
河北省,石家庄,石家庄市,311,114.52,38.05
河北省,石家庄,长安区,311,114.52,38.05
河北省,石家庄,桥东区,311,114.5,38.05
河北省,石家庄,桥东区,311,114.9,40.78
河北省,石家庄,桥东区,311,114.5,37.07
河北省,石家庄,桥西区,311,114.47,37.05
河北省,石家庄,桥西区,311,114.87,40.83
河北省,石家庄,桥西区,311,114.47,38.03
河北省,石家庄,新华区,311,114.47,38.05
河北省,石家庄,新华区,311,116.87,38.32
河北省,石家庄,井陉矿区,311,114.05,38.08
河北省,石家庄,裕华区,311,114.52,38.02
